0 0 
30902330.5358887 30902399.5666504 30902340.6065016
30966288.7573242 30966357.9406738 30966298.8584958
31030249.7253418 31030319.0612793 31030259.8570668
31094221.1914062 31094290.6799316 31094231.3536647
31158230.5908203 31158300.2319336 31158240.7835398
31222213.684082 31222283.5083008 31222223.9378303
31286211.9445801 31286281.8908691 31286222.1982931
31350224.4873047 31350294.6166992 31350234.8019902
31414223.5717773 31414293.8232422 31414233.8864261
31478214.4775391 31478284.9121094 31478224.8532017
31542197.4487305 31542268.0358887 31542207.8549045
31606195.1904297 31606265.9301758 31606205.627087
31670212.6464844 31670283.5693359 31670223.1441049
31734225.982666 31734297.0581055 31734236.5107401
31798241.027832 31798312.2253418 31798251.5558389
31862243.4387207 31862314.8193359 31862254.0277194
31926191.192627 31926262.7258301 31926201.8122043
31990154.0222168 31990225.7080078 31990164.6723441
32054116.4245605 32054188.293457 32054127.135756
32118066.5588379 32118138.5803223 32118077.3006075
32182061.1572266 32182133.3312988 32182071.9294855
32246063.3239746 32246135.6506348 32246074.1267083
32310069.3969727 32310141.8762207 32310080.2301738
32374069.8547363 32374142.4865723 32374080.7184156
32438077.8808594 32438150.6958008 32438088.8055198
32502084.8693848 32502157.8369141 32502095.8245108
32566082.9772949 32566156.0974121 32566093.9629035
32630097.2290039 32630170.501709 32630108.2450643
32694110.5651855 32694183.9904785 32694121.6116995
32758124.3896484 32758197.9675293 32758135.466615
32822097.7783203 32822171.5393066 32822108.9163341
32886086.151123 32886160.0646973 32886097.319638
32950054.6875 32950128.7536621 32950065.886554
33014011.8103027 33014086.0290527 33014023.0399175
33077981.5979004 33078055.9692383 33077992.8580518
33141947.2045898 33142021.7590332 33141958.5258033
33205901.1535645 33205975.8300781 33205912.4748273
33269843.9025879 33269918.762207 33269855.2849564
33333796.9055176 33333871.9177246 33333808.3184547
33397746.2463379 33397821.4111328 33397757.6898507
33461695.4956055 33461770.8435059 33461707.0002116
33525662.4145508 33525737.8845215 33525673.9191815
33589622.1008301 33589697.7539063 33589633.6665342
33653570.8312988 33653646.6369629 33653582.4275797
33717532.4707031 33717608.4289551 33717544.0975362
33781489.3188477 33781565.4296875 33781500.976242
33845459.564209 33845535.8276367 33845471.2521391
33909427.3071289 33909503.7231445 33909439.0255995
33973407.8369141 33973484.4360352 33973419.6164183
34037384.3688965 34037461.0900879 34037396.148407
34101354.2175293 34101431.1218262 34101366.0580938
34165321.3195801 34165398.4375 34165333.2517214
34229285.736084 34229362.9455566 34229297.6377371
34293256.7138672 34293334.1064453 34293268.6765722
34357229.9194336 34357307.434082 34357241.8821512
34421189.3615723 34421267.0593262 34421201.3853637
34485154.5715332 34485232.421875 34485166.62587
34549137.9699707 34549215.9729004 34549150.0548182
34613112.9455566 34613191.1315918 34613125.0914483
34677075.9277344 34677154.2663574 34677088.1041757
34741035.8581543 34741114.3493652 34741048.065151
34804997.3754883 34805076.0192871 34805009.6130374
34868964.2333984 34869043.0297852 34868976.5014898
34932936.8286133 34933015.8081055 34932949.1577534
34996891.8151855 34996970.9472656 34996904.1748905
35060854.1564941 35060933.4106445 35060866.5162324
35124805.2368164 35124884.6740723 35124817.6576445
35188765.1977539 35188844.7875977 35188777.6491374
35252710.7849121 35252790.5273437 35252723.2668784
35316671.5393066 35316751.4343262 35316684.0518268
35380661.0717773 35380741.1499023 35380673.6453139
35444682.2814941 35444762.512207 35444694.8854692
35508703.9489746 35508784.3322754 35508716.5833873
35572726.4404297 35572806.9763184 35572739.1052785
35636755.8898926 35636836.5783691 35636768.5851641
35700780.3039551 35700861.1450195 35700793.029659
35764772.6135254 35764853.6376953 35764785.4002405
35828753.90625 35828835.0830078 35828766.7234798
35892739.8071289 35892821.1364746 35892752.6548646
35956749.4506836 35956830.9326172 35956762.3288798
36020751.2512207 36020832.8857422 36020764.1598925
36084757.6599121 36084839.4775391 36084770.6295682
36148763.1530762 36148845.123291 36148776.1532007
36212768.8598633 36212850.982666 36212781.8904559
36276769.7143555 36276851.9897461 36276782.7754254
36340780.1208496 36340862.5488281 36340793.2123787
36404728.0883789 36404810.6994629 36404741.2410038
36468682.9223633 36468765.6860352 36468696.1055533
36532650.604248 36532733.5205078 36532663.8179787
36596621.1547852 36596704.2236328 36596634.399051
36660590.7592773 36660674.0112305 36660604.0645976
